,ARRONDISSEMENT,HAUTEUR (m),HAUTEUR (m),HAUTEUR (m)
,,mean,max,min
ARRONDISSEMENT,,,,
BOIS DE BOULOGNE,BOIS DE BOULOGNE,10.983446932814022,45,0
BOIS DE VINCENNES,BOIS DE VINCENNES,9.413722998729352,40,0
HAUTS-DE-SEINE,HAUTS-DE-SEINE,2.323877512680819,23,0
PARIS 10E ARRDT,PARIS 10E ARRDT,10.43813559322034,30,1
PARIS 11E ARRDT,PARIS 11E ARRDT,9.745472669878717,40,0
PARIS 12E ARRDT,PARIS 12E ARRDT,8.858200047744091,40,0
PARIS 13E ARRDT,PARIS 13E ARRDT,8.621307705913566,35,0
PARIS 14E ARRDT,PARIS 14E ARRDT,9.072456320657759,32,0
PARIS 15E ARRDT,PARIS 15E ARRDT,6.544682571775172,45,0
PARIS 16E ARRDT,PARIS 16E ARRDT,10.580814330328208,35,0
PARIS 17E ARRDT,PARIS 17E ARRDT,8.99723349317595,34,0
PARIS 18E ARRDT,PARIS 18E ARRDT,9.26159255036108,111,0
PARIS 19E ARRDT,PARIS 19E ARRDT,9.00943650579671,40,0
PARIS 1ER ARRDT,PARIS 1ER ARRDT,8.24047619047619,26,0
PARIS 20E ARRDT,PARIS 20E ARRDT,8.816294031466972,56,0
PARIS 2E ARRDT,PARIS 2E ARRDT,9.5591985428051,40,2
PARIS 3E ARRDT,PARIS 3E ARRDT,9.49491790461298,25,1
PARIS 4E ARRDT,PARIS 4E ARRDT,10.028880866425993,30,0
PARIS 5E ARRDT,PARIS 5E ARRDT,11.103211009174313,37,0
PARIS 6E ARRDT,PARIS 6E ARRDT,11.211142061281336,25,1
PARIS 7E ARRDT,PARIS 7E ARRDT,10.925019911252702,45,0
PARIS 8E ARRDT,PARIS 8E ARRDT,11.738924265004743,35,0
PARIS 9E ARRDT,PARIS 9E ARRDT,10.358695652173912,28,0
SEINE-SAINT-DENIS,SEINE-SAINT-DENIS,5.0293094883258815,28,0
VAL-DE-MARNE,VAL-DE-MARNE,7.157165479018211,35,0
