ARRONDISSEMENT,ARRONDISSEMENT,MEAN,MAX,MIN,COUNT
BOIS DE BOULOGNE,BOIS DE BOULOGNE,11.023698998289763,45,2,4093
BOIS DE VINCENNES,BOIS DE VINCENNES,12.08318834275772,40,2,9196
HAUTS-DE-SEINE,HAUTS-DE-SEINE,8.19139072847682,23,2,1510
PARIS 10E ARRDT,PARIS 10E ARRDT,10.532382310984309,30,2,3505
PARIS 11E ARRDT,PARIS 11E ARRDT,9.973612529792305,40,2,5874
PARIS 12E ARRDT,PARIS 12E ARRDT,9.117830219600132,40,2,12204
PARIS 13E ARRDT,PARIS 13E ARRDT,9.088114499066585,35,2,16070
PARIS 14E ARRDT,PARIS 14E ARRDT,9.289349008598,32,2,11398
PARIS 15E ARRDT,PARIS 15E ARRDT,9.26346374201997,45,2,12218
PARIS 16E ARRDT,PARIS 16E ARRDT,10.70060808393943,35,2,16774
PARIS 17E ARRDT,PARIS 17E ARRDT,9.075390915860014,34,2,10744
PARIS 18E ARRDT,PARIS 18E ARRDT,9.493113216762723,34,2,10237
PARIS 19E ARRDT,PARIS 19E ARRDT,10.84393533187099,40,2,12309
PARIS 1ER ARRDT,PARIS 1ER ARRDT,8.29239065308568,26,3,1669
PARIS 20E ARRDT,PARIS 20E ARRDT,9.772688719253605,30,2,14148
PARIS 2E ARRDT,PARIS 2E ARRDT,9.5591985428051,40,2,549
PARIS 3E ARRDT,PARIS 3E ARRDT,9.52156862745098,25,2,1275
PARIS 4E ARRDT,PARIS 4E ARRDT,10.19640234948605,30,2,2724
PARIS 5E ARRDT,PARIS 5E ARRDT,11.327088212334115,37,2,2562
PARIS 6E ARRDT,PARIS 6E ARRDT,11.245388485187256,25,2,1789
PARIS 7E ARRDT,PARIS 7E ARRDT,11.18890572194383,45,2,8581
PARIS 8E ARRDT,PARIS 8E ARRDT,11.765584680157545,35,2,7363
PARIS 9E ARRDT,PARIS 9E ARRDT,10.390939597315436,28,2,1192
SEINE-SAINT-DENIS,SEINE-SAINT-DENIS,9.383854005567585,28,2,6466
VAL-DE-MARNE,VAL-DE-MARNE,13.276866585067319,35,2,4085
